bias,x,y,class
1,-165.9158607324932,-57.23583107121715,1
1,232.5340913276856,-192.10879052092804,-1
1,208.83798793318402,102.70651412594492,-1
1,-60.95605481165629,107.40421536490607,1
1,-1.156956776331043,-143.5631542541738,-1
1,55.11490663946853,238.5163901350847,1
1,96.48146491593349,16.936845930184802,-1
1,1.005254273680805,244.12550121754435,1
1,-225.92243947513703,164.63810304746113,1
1,-208.99640232765748,108.27628959404234,1
1,-166.3936368590795,29.387132904390228,1
1,-221.9048407362817,-197.4558081265012,-1
1,-91.14828360505754,88.02233630720019,1
1,-130.60736434003783,-219.94728780164897,-1
1,-65.11757086819713,73.08978033565205,1
1,-161.91829568507802,191.90561633053755,1
1,-95.68326958486227,-153.99635066917145,-1
1,-104.27437352771108,-125.68977168131057,-1
1,-81.72026384287429,188.0524236398869,1
1,-162.2631536655946,84.35698759544323,1
1,-90.03571797624704,153.88747144274942,1
1,175.05402161967373,131.33109431614372,1
1,-66.35147373179873,-247.9707795715016,-1
1,143.79596362039678,2.833981588448154,-1
1,-24.73334593911204,-18.19427990383582,-1
1,-123.74366974224426,-162.44008574816098,-1
1,159.6025543921694,-237.75223567025733,-1
1,74.03702280213861,-166.8522059495882,-1
1,-37.6197872897836,-72.50218145715513,-1
1,-47.47429338782695,-9.180561160384002,1
1,230.82530914629683,-149.84664105434692,-1
1,-217.74239857543222,-106.99091511774944,-1
1,230.8651631430243,213.27179788521818,1
1,-189.55636901700063,193.18437201014842,1
1,-75.43080618469045,131.046377423335,1
1,15.936210429848643,-187.69763679419165,-1
1,-31.71456211800833,-97.21005227050799,-1
1,55.70442150699182,-75.24996881643852,-1
1,74.65164251046974,-36.67785217325198,-1
1,142.08987109277422,-194.67809009623704,-1
1,238.6095158726544,-170.5556109740851,-1
1,-217.5915379658851,11.383006838151744,1
1,183.32771596653686,-180.18509241839013,-1
1,-150.4490956654293,-234.22979310012826,-1
1,-21.325046961012845,-140.81208679673728,-1
1,14.406766768740454,183.51136931728752,1
1,153.7337469043519,-53.44736419647549,-1
1,98.29440872076736,-77.63163768305776,-1
1,26.181178429331737,94.31686489009292,1
1,-43.70524914006856,133.69176802624003,1
1,-214.7314084898182,147.02351591975327,1
1,-88.88153765432989,241.5099587215302,1
1,-7.820814656273541,95.03136626036326,1
1,-101.23924707019515,-223.34741337508356,-1
1,-82.61892988973369,-217.4072928940122,-1
1,-40.76096447638179,-46.82271169494851,-1
1,-214.24252410384076,117.07147799552536,1
1,98.2610771872047,-80.17439705596468,-1
1,37.849370269773544,-74.4227147300584,-1
1,-124.77117243028218,246.0289578825474,1
1,-121.31445823756653,103.31860516154421,1
1,-28.458042220988574,-36.50620197099269,-1
1,-136.51834784036504,249.00934335422824,1
1,-101.32868693369801,186.07005480474936,1
1,29.880562470660266,-56.29467598844741,-1
1,239.61872508631023,98.16303902553824,-1
1,-237.2303528432405,185.38401842462872,1
1,-197.90860675774897,75.617493952171,1
1,-32.652715063296824,-52.076047421460885,-1
1,238.97844660752145,-157.1952360477717,-1
1,50.320388003561334,-12.593103199435348,-1
1,140.3437200745293,-243.43262086313567,-1
1,190.61793147882315,141.85163856487418,1
1,47.881283045866894,4.900139773134015,-1
1,61.560406288459376,-174.25348909513983,-1
1,199.3479681378622,206.94595134986105,1
1,-151.60390949024634,-43.89975096005384,1
1,203.0120524835063,-59.7584436980259,-1
1,24.254788424968638,-151.77485771392747,-1
1,-192.31271726075704,-108.70170146586128,-1
1,-231.95244377224856,17.480606615653357,1
1,15.351444688462493,230.4668096969785,1
1,-68.4188389147084,-63.76009608620953,-1
1,-35.336508315141174,96.90182860776224,1
1,72.88460176406784,214.3790085065852,1
1,189.4104826393201,-134.04950583517927,-1
1,-230.62107820229633,-153.19581725851668,-1
1,-218.6895284918345,65.16097375860943,1
1,214.14696026671203,-157.38639030093532,-1
1,-218.53790742302303,-249.56127185247013,-1
1,-199.06325608880698,-92.528571675611,-1
1,133.6338965833736,137.56932386609577,1
1,-29.059741748989723,143.08573531455875,1
1,-231.65858293524366,139.33896662589683,1
1,-174.744484220356,229.21564107862986,1
1,-53.45920679835163,248.38614738982778,1
1,-37.631041838612475,-213.86049288519703,-1
1,107.88172025100044,133.73969867450558,1
1,85.67445001550124,-23.01053309522476,-1
1,-4.438587288152831,88.40187264445223,1
1,-176.361602863764,58.451084680357155,1
1,-191.58853124595842,68.0584476715187,1
1,-211.61256515447553,221.146762959498,1
1,208.8584223842983,2.2576890260083076,-1
1,-53.21900526853969,-108.24238365289474,-1
1,-140.1677036695919,-54.727826927768405,1
1,113.70693175599791,-57.43461208156282,-1
1,78.43763024103902,34.44481326179675,-1
1,-73.9015695073532,246.04567685397103,1
1,249.50697649850588,-229.7773264490503,-1
1,141.4314565180553,85.7684451162184,1
1,171.48692047843446,-177.0749317881256,-1
1,-172.32161023932747,45.065759356757894,1
1,12.38357821589716,18.636164999360403,1
1,9.004642703874424,-61.07374227424879,-1
1,-20.7280390281216,235.2521995761408,1
1,43.1808139101891,-132.16446378670418,-1
1,196.8613032305712,168.35178300065184,1
1,-160.16187482213195,156.04169579519993,1
1,-227.91248688898148,239.2175851759577,1
1,-187.41521125814498,-78.51170041659194,1
1,-110.37015818947992,-165.40240000752812,-1
1,-180.80202359438502,-83.09204249344941,-1
1,-96.58549345924934,135.0842355217328,1
